퇴근,noun,A1
특별하다,adjective,A1
특히,adverb,A1
티셔츠,noun,A1
파티,noun,A1
팔,noun,A1
팔,unknown,A1
팔다,verb,A1
팔십,unknown,A1
팔월,noun,A1
편의점,noun,A1
편지,noun,A1
포도,noun,A1
표,noun,A1
프랑스,noun,A1
프로그램,noun,A1
피곤,noun,A1
피아노,noun,A1
피우다,verb,A1
필요,noun,A1
필통,noun,A1
하나,unknown,A1
하다,verb,A1
하루,noun,A1
하숙집,noun,A1
하지만,adverb,A1
학교,noun,A1
학생,noun,A1
학생증,noun,A1
한,unknown,A1
한가하다,adjective,A1
한국,noun,A1
한복,noun,A1
할머니,noun,A1
할아버지,noun,A1
함께,adverb,A1
형,noun,A1
호,unknown,A1
호텔,noun,A1
혼자,noun,A1
화요일,noun,A1
화장실,noun,A1
회사,noun,A1
회사원,noun,A1
회의,noun,A1
후,noun,A1
휴가,noun,A1
흐리다,adjective,A1
힘들다,adjective,A1
가까이,adverb,A2
가끔,adverb,A2
가늘다,adjective,A2
가득,adverb,A2
가리키다,verb,A2
가슴,noun,A2
가위,noun,A2
가져가다,verb,A2
가져오다,verb,A2
각각,adverb,A2
간단하다,adjective,A2
간단히,adverb,A2
간식,noun,A2
간장,noun,A2
간호사,noun,A2
갈색,noun,A2
갈아입다,verb,A2
감기약,noun,A2
감다,verb,A2
감다,verb,A2
감자,noun,A2
갑자기,adverb,A2
강,noun,A2
강아지,noun,A2
강하다,adjective,A2
갖다,noun,A2
갚다,verb,A2
개월,unknown,A2
거,unknown,A2
거리,noun,A2
거리,noun,A2
거울,noun,A2
거의,adverb,A2
거절,noun,A2
거짓말,noun,A2
걱정,noun,A2
건너가다,verb,A2
건너다,verb,A2
걸어가다,verb,A2
걸어오다,verb,A2
걸음,noun,A2
검사,noun,A2
검은색,noun,A2
검정,noun,A2
겉,noun,A2
게으르다,adjective,A2
결과,noun,A2
결석,noun,A2
결심,noun,A2
결정,noun,A2
결혼,noun,A2
결혼식,noun,A2
경기,noun,A2
경찰,noun,A2
경찰서,noun,A2
경치,noun,A2
경험,noun,A2
계단,noun,A2
계란,noun,A2
계산,noun,A2
고개,noun,A2
고등학교,noun,A2
고등학생,noun,A2
고모,noun,A2
고민,noun,A2
고속버스,noun,A2
고장,noun,A2
고추장,noun,A2
고치다,verb,A2
곧,adverb,A2
공,noun,A2
공무원,noun,A2
공장,noun,A2
공짜,noun,A2
공휴일,noun,A2
과거,noun,A2
과자,noun,A2
관계,noun,A2
관광,noun,A2
관광객,noun,A2
관광지,noun,A2
관심,noun,A2
광고,noun,A2
광주,noun,A2
교과서,noun,A2
교사,noun,A2
교수,noun,A2
교육,noun,A2
교통비,noun,A2
교통사고,noun,A2
교환,noun,A2
교회,noun,A2
구름,noun,A2
국,noun,A2
국내,noun,A2
국수,noun,A2
국제,noun,A2
군인,noun,A2
굵다,adjective,A2
굽다,verb,A2
궁금하다,adjective,A2
귀걸이,noun,A2
귀여워하다,verb,A2
귀엽다,adjective,A2
귀찮다,adjective,A2
규칙,noun,A2
그거,unknown,A2
그곳,unknown,A2
그날,noun,A2
그냥,adverb,A2
그대로,adverb,A2
그동안,noun,A2
그때,noun,A2
그러나,adverb,A2
그러므로,adverb,A2
그런,unknown,A2
그립다,adjective,A2
그만,adverb,A2
그만두다,verb,A2
그분,unknown,A2
그치다,verb,A2
글쎄,unknown,A2
글씨,noun,A2
글자,noun,A2
금방,adverb,A2
금지,noun,A2
급하다,adjective,A2
기르다,verb,A2
기름,noun,A2
기뻐하다,verb,A2
기쁨,noun,A2
기억,noun,A2
기억나다,verb,A2
기온,noun,A2
기자,noun,A2
기차역,noun,A2
기차표,noun,A2
기침,noun,A2
기타,noun,A2
기회,noun,A2
긴장,noun,A2
길이,noun,A2
김,noun,A2
깊다,adjective,A2
깊이,adverb,A2
까만색,noun,A2
까맣다,adjective,A2
깎다,verb,A2
깜짝,adverb,A2
깨끗이,adverb,A2
깨다,verb,A2
꺼내다,verb,A2
껌,noun,A2
꽃다발,noun,A2
꽃병,noun,A2
꽃집,noun,A2
꾸다,verb,A2
꿈,noun,A2
끊다,verb,A2
끓다,verb,A2
끓이다,verb,A2
끝,noun,A2
끝내다,verb,A2
끼다,verb,A2
나누다,verb,A2
나머지,noun,A2
나이,noun,A2
나타나다,verb,A2
나흘,noun,A2
낚시,noun,A2
날다,verb,A2
날씬하다,adjective,A2
남,noun,A2
남기다,verb,A2
남녀,noun,A2
남다,verb,A2
남성,noun,A2
남쪽,noun,A2
남학생,noun,A2
낫다,verb,A2
낫다,adjective,A2
낮잠,noun,A2
내과,noun,A2
내다,verb,A2
내려가다,verb,A2
내려오다,verb,A2
내용,noun,A2
냄비,noun,A2
냄새,noun,A2
냉장고,noun,A2
너희,unknown,A2
넘다,verb,A2
넘어지다,verb,A2
네,unknown,A2
넥타이,noun,A2
넷째,unknown,A2
노란색,noun,A2
노랗다,adjective,A2
노력,noun,A2
노인,noun,A2
노트,noun,A2
녹색,noun,A2
녹차,noun,A2
놀라다,verb,A2
놀이,noun,A2
농담,noun,A2
높이,noun,A2
높이,adverb,A2
놓다,verb,A2
누르다,verb,A2
눈물,noun,A2
눕다,verb,A2
느끼다,verb,A2
느낌,noun,A2
느리다,adjective,A2
늘,adverb,A2
늘다,verb,A2
늙다,verb,A2
능력,noun,A2
다리,noun,A2
다섯째,unknown,A2
다양,noun,A2
다음날,noun,A2
다이어트,noun,A2
다치다,verb,A2
다하다,verb,A2
닦다,verb,A2
단순,noun,A2
단추,noun,A2
단풍,noun,A2
달걀,noun,A2
달력,noun,A2
달리기,noun,A2
달리다,verb,A2
닭,noun,A2
닭고기,noun,A2
닮다,verb,A2
답,noun,A2
답답하다,adjective,A2
답장,noun,A2
대,unknown,A2
대구,noun,A2
대부분,noun,A2
대전,noun,A2
대학원,noun,A2
대회,noun,A2
댁,noun,A2
더럽다,adjective,A2
더욱,adverb,A2
덕분,noun,A2
던지다,verb,A2
데려가다,verb,A2
데려오다,verb,A2
데이트,noun,A2
도,unknown,A2
도로,noun,A2
도시,noun,A2
도움,noun,A2
독서,noun,A2
돈가스,noun,A2
돌,noun,A2
돌다,verb,A2
돌려주다,verb,A2
돌리다,verb,A2
동네,noun,A2
동물,noun,A2
동물원,noun,A2
동시,noun,A2
동전,noun,A2
동쪽,noun,A2
돼지,noun,A2
돼지고기,noun,A2
-되다,unknown,A2
된장,noun,A2
두껍다,adjective,A2
두다,verb,A2
두부,noun,A2
두세,unknown,A2
두통,noun,A2
둘째,unknown,A2
뒤쪽,noun,A2
드디어,adverb,A2
들르다,verb,A2
들리다,verb,A2
등,noun,A2
디자인,noun,A2
따로,adverb,A2
땀,noun,A2
땅,noun,A2
떠나다,verb,A2
떠들다,verb,A2
떡,noun,A2
떡국,noun,A2
떨어지다,verb,A2
또는,adverb,A2
똑같다,adjective,A2
똑같이,adverb,A2
똑똑하다,adjective,A2
똑바로,adverb,A2
